Employee_ID,Education_Level,Age,Years_At_Company,Monthly_Income,Performance_Score,Join_Date,Attrition,Department_Finance,Department_HR,Department_Marketing,Department_Sales,Job_Role_Accountant,Job_Role_Content Specialist,Job_Role_Finance Manager,Job_Role_Financial Analyst,Job_Role_HR Manager,Job_Role_HR Specialist,Job_Role_Marketing Analyst,Job_Role_Marketing Manager,Job_Role_QA Engineer,Job_Role_Recruiter,Job_Role_Sales Executive,Job_Role_Sales Manager,Job_Role_Senior Engineer,Job_Role_Software Engineer
601,2,21,13,7155.17,92.0,2011-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
737,3,30,2,5122.52,59.0,2022-09-22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
315,2,37,0,4578.13,80.0,2024-06-18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
816,2,31,0,3649.32,79.0,2024-08-15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
979,2,42,2,4218.21,75.0,2022-09-07,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2,31,3,5031.15,76.0,2021-09-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,3,35,12,7297.6,86.0,2012-09-26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
778,2,36,0,2422.5900000000006,71.4,2024-06-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
410,1,21,0,2736.65,84.0,2024-06-22,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
413,2,25,1,3406.96,77.0,2023-08-23,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,2,28,2,3296.54,38.0,2022-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
460,2,24,0,3563.54,56.0,2023-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
510,1,29,0,2590.3,97.0,2024-11-09,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,1,38,2,3663.41,60.0,2022-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
802,2,34,4,5443.74,73.0,2020-11-24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
714,4,21,0,6519.52,64.0,2024-03-08,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
543,2,37,2,4255.01,68.0,2022-05-22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
768,2,31,2,4932.27,100.0,2022-05-25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,2,34,4,4764.062,69.0,2020-04-14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
837,3,39,3,6223.34,84.0,2021-04-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
488,3,39,4,6656.28,58.0,2020-09-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
874,2,32,1,2481.5800000000004,62.0,2023-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
949,1,21,2,3293.4,64.0,2022-01-05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
719,3,38,0,5076.62,78.0,2024-10-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,2,35,1,4700.66,85.0,2023-01-17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,2,36,1,3729.38,81.0,2023-03-21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
396,2,21,9,7267.35,63.0,2015-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
369,2,27,0,3651.04,80.0,2024-11-27,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
362,2,37,4,4259.49,71.4,2020-10-27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,2,36,1,3295.63,71.0,2023-07-20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
684,2,41,6,6256.33,82.0,2018-07-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
257,3,37,11,9446.36,76.4,2013-04-18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1000,3,40,0,3992.95,51.0,2024-11-25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3,43,0,5806.0,72.0,2024-03-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919,1,29,0,5928.328,69.0,2024-03-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
586,2,37,2,5695.2,85.0,2022-04-10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,2,38,8,6469.49,61.0,2016-02-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
850,3,40,6,5752.89,61.0,2018-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
957,2,43,0,3470.17,69.0,2024-07-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
467,2,21,3,3308.2,47.0,2023-06-12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,2,49,1,3544.52,73.0,2023-12-06,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
602,2,28,1,3805.73,58.0,2023-08-25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
485,3,36,0,3663.3500000000004,78.0,2024-10-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,3,30,2,7016.19,86.0,2022-08-27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749,3,37,0,5402.94,73.0,2024-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
317,1,39,10,5125.66,67.4,2014-12-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
456,2,23,0,3527.11,76.0,2024-08-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
141,2,43,20,7203.27,80.0,2005-04-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,4,43,8,7754.65,79.0,2016-07-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
490,1,41,0,3295.19,80.0,2024-12-13,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
306,2,30,0,3913.5999999999995,75.0,2024-08-24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
659,2,24,4,4962.91,98.0,2020-09-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,2,39,2,4966.18,68.0,2022-10-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
583,2,35,7,4746.41,74.0,2017-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
900,3,45,2,4629.46,82.0,2022-05-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,2,38,2,4009.982,64.0,2022-08-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
409,1,33,6,4193.69,63.0,2018-10-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,2,50,1,4243.07,64.0,2023-05-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
786,2,50,9,6458.52,70.0,2015-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,1,42,2,2873.64,71.0,2022-12-18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,3,25,12,7633.42,55.0,2012-02-08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,3,56,2,5659.42,80.0,2024-07-25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,3,38,2,4876.5,58.0,2022-07-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
966,2,30,7,6996.87,77.0,2017-08-07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
927,2,42,0,4490.99,57.0,2024-05-17,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
223,1,44,0,2784.64,80.0,2024-04-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
998,2,43,0,4061.5699999999997,87.0,2024-10-23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2,31,1,4066.4399999999996,73.0,2023-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
559,4,27,10,8586.79,80.0,2014-06-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
233,2,42,5,4501.98,77.0,2019-05-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,2,47,1,4961.88,54.0,2023-06-22,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
855,2,31,1,4300.904,82.0,2023-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
981,3,48,0,4435.48,91.0,2024-05-20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,3,41,6,5579.88,78.0,2021-01-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
766,3,29,2,5924.22,50.0,2022-07-12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
834,3,28,0,5443.1,79.0,2024-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
221,1,28,7,4989.51,70.0,2017-10-13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
358,1,25,8,5999.14,74.0,2016-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
972,3,36,2,5678.76,70.0,2022-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2,29,8,5688.87,70.0,2016-06-19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
993,2,44,1,3872.68,71.0,2023-05-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
682,1,24,0,2277.6500000000005,60.0,2024-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
385,2,32,1,3441.67,84.0,2023-11-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2,38,0,3512.89,70.0,2024-10-03,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
771,2,21,1,4517.51,83.0,2023-07-22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
452,2,45,7,4285.51,40.0,2017-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
