Employee_ID,Segment_ID,Segment_Label
601,1,"Tenured Employees — Higher tenure, higher income"
737,0,"New Joiners — Lower tenure, lower income"
315,0,"New Joiners — Lower tenure, lower income"
816,0,"New Joiners — Lower tenure, lower income"
979,0,"New Joiners — Lower tenure, lower income"
10,0,"New Joiners — Lower tenure, lower income"
135,1,"Tenured Employees — Higher tenure, higher income"
778,0,"New Joiners — Lower tenure, lower income"
410,0,"New Joiners — Lower tenure, lower income"
413,0,"New Joiners — Lower tenure, lower income"
72,0,"New Joiners — Lower tenure, lower income"
460,0,"New Joiners — Lower tenure, lower income"
510,0,"New Joiners — Lower tenure, lower income"
55,0,"New Joiners — Lower tenure, lower income"
802,0,"New Joiners — Lower tenure, lower income"
714,0,"New Joiners — Lower tenure, lower income"
543,0,"New Joiners — Lower tenure, lower income"
768,0,"New Joiners — Lower tenure, lower income"
147,0,"New Joiners — Lower tenure, lower income"
837,1,"Tenured Employees — Higher tenure, higher income"
488,1,"Tenured Employees — Higher tenure, higher income"
874,0,"New Joiners — Lower tenure, lower income"
949,0,"New Joiners — Lower tenure, lower income"
719,0,"New Joiners — Lower tenure, lower income"
35,0,"New Joiners — Lower tenure, lower income"
172,0,"New Joiners — Lower tenure, lower income"
396,1,"Tenured Employees — Higher tenure, higher income"
369,0,"New Joiners — Lower tenure, lower income"
362,0,"New Joiners — Lower tenure, lower income"
329,0,"New Joiners — Lower tenure, lower income"
684,1,"Tenured Employees — Higher tenure, higher income"
257,1,"Tenured Employees — Higher tenure, higher income"
1000,0,"New Joiners — Lower tenure, lower income"
180,0,"New Joiners — Lower tenure, lower income"
919,0,"New Joiners — Lower tenure, lower income"
586,0,"New Joiners — Lower tenure, lower income"
165,1,"Tenured Employees — Higher tenure, higher income"
850,1,"Tenured Employees — Higher tenure, higher income"
957,0,"New Joiners — Lower tenure, lower income"
467,0,"New Joiners — Lower tenure, lower income"
373,0,"New Joiners — Lower tenure, lower income"
602,0,"New Joiners — Lower tenure, lower income"
485,0,"New Joiners — Lower tenure, lower income"
14,1,"Tenured Employees — Higher tenure, higher income"
749,0,"New Joiners — Lower tenure, lower income"
317,1,"Tenured Employees — Higher tenure, higher income"
456,0,"New Joiners — Lower tenure, lower income"
141,1,"Tenured Employees — Higher tenure, higher income"
217,1,"Tenured Employees — Higher tenure, higher income"
490,0,"New Joiners — Lower tenure, lower income"
306,0,"New Joiners — Lower tenure, lower income"
659,0,"New Joiners — Lower tenure, lower income"
956,0,"New Joiners — Lower tenure, lower income"
583,1,"Tenured Employees — Higher tenure, higher income"
900,0,"New Joiners — Lower tenure, lower income"
661,0,"New Joiners — Lower tenure, lower income"
409,0,"New Joiners — Lower tenure, lower income"
100,0,"New Joiners — Lower tenure, lower income"
786,1,"Tenured Employees — Higher tenure, higher income"
154,0,"New Joiners — Lower tenure, lower income"
47,1,"Tenured Employees — Higher tenure, higher income"
5,0,"New Joiners — Lower tenure, lower income"
173,0,"New Joiners — Lower tenure, lower income"
966,1,"Tenured Employees — Higher tenure, higher income"
927,0,"New Joiners — Lower tenure, lower income"
223,0,"New Joiners — Lower tenure, lower income"
998,0,"New Joiners — Lower tenure, lower income"
260,0,"New Joiners — Lower tenure, lower income"
559,1,"Tenured Employees — Higher tenure, higher income"
233,0,"New Joiners — Lower tenure, lower income"
109,0,"New Joiners — Lower tenure, lower income"
855,0,"New Joiners — Lower tenure, lower income"
981,0,"New Joiners — Lower tenure, lower income"
99,1,"Tenured Employees — Higher tenure, higher income"
766,0,"New Joiners — Lower tenure, lower income"
834,0,"New Joiners — Lower tenure, lower income"
221,1,"Tenured Employees — Higher tenure, higher income"
358,1,"Tenured Employees — Higher tenure, higher income"
972,0,"New Joiners — Lower tenure, lower income"
25,1,"Tenured Employees — Higher tenure, higher income"
993,0,"New Joiners — Lower tenure, lower income"
682,0,"New Joiners — Lower tenure, lower income"
385,0,"New Joiners — Lower tenure, lower income"
95,0,"New Joiners — Lower tenure, lower income"
771,0,"New Joiners — Lower tenure, lower income"
452,0,"New Joiners — Lower tenure, lower income"
26,0,"New Joiners — Lower tenure, lower income"
114,0,"New Joiners — Lower tenure, lower income"
126,0,"New Joiners — Lower tenure, lower income"
61,0,"New Joiners — Lower tenure, lower income"
434,0,"New Joiners — Lower tenure, lower income"
296,1,"Tenured Employees — Higher tenure, higher income"
245,0,"New Joiners — Lower tenure, lower income"
681,1,"Tenured Employees — Higher tenure, higher income"
76,0,"New Joiners — Lower tenure, lower income"
899,0,"New Joiners — Lower tenure, lower income"
427,0,"New Joiners — Lower tenure, lower income"
716,0,"New Joiners — Lower tenure, lower income"
418,1,"Tenured Employees — Higher tenure, higher income"
910,0,"New Joiners — Lower tenure, lower income"
390,0,"New Joiners — Lower tenure, lower income"
54,0,"New Joiners — Lower tenure, lower income"
844,0,"New Joiners — Lower tenure, lower income"
351,0,"New Joiners — Lower tenure, lower income"
472,0,"New Joiners — Lower tenure, lower income"
532,1,"Tenured Employees — Higher tenure, higher income"
644,1,"Tenured Employees — Higher tenure, higher income"
404,0,"New Joiners — Lower tenure, lower income"
907,0,"New Joiners — Lower tenure, lower income"
