Employee_ID,Education_Level,Age,Years_At_Company,Monthly_Income,Performance_Score,Join_Date,Attrition,Department_Finance,Department_HR,Department_Marketing,Department_Sales,Job_Role_Accountant,Job_Role_Content Specialist,Job_Role_Finance Manager,Job_Role_Financial Analyst,Job_Role_HR Manager,Job_Role_HR Specialist,Job_Role_Marketing Analyst,Job_Role_Marketing Manager,Job_Role_QA Engineer,Job_Role_Recruiter,Job_Role_Sales Executive,Job_Role_Sales Manager,Job_Role_Senior Engineer,Job_Role_Software Engineer,Monthly_Income_Predictions,Subtraction_scaled,Pay_Flag,Attrition_Probability,Attrition_Risk_Flag,High_Potential_Flag,Segment_ID,Segment_Label
601,2,21,13,7155.17,92.0,2011-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7034.300014873268,0.1445478249644534,Fair,0.035913978229577,Low,0,1,"Tenured Employees — Higher tenure, higher income"
737,3,30,2,5122.52,59.0,2022-09-22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5341.98605980579,-0.2624583891954948,Fair,0.2721781469011166,Low,0,0,"New Joiners — Lower tenure, lower income"
315,2,37,0,4578.13,80.0,2024-06-18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3890.552761340981,0.8222702620424592,Fair,0.4316417499385517,Medium,0,0,"New Joiners — Lower tenure, lower income"
816,2,31,0,3649.32,79.0,2024-08-15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3918.533805991948,-0.3219514759246207,Fair,0.2919958248169035,Low,0,0,"New Joiners — Lower tenure, lower income"
979,2,42,2,4218.21,75.0,2022-09-07,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4335.562320767727,-0.1403410673354518,Fair,0.2542204372068243,Low,0,0,"New Joiners — Lower tenure, lower income"
10,2,31,3,5031.15,76.0,2021-09-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4570.177605245911,0.5512746358038743,Fair,0.7920862682761538,High,1,0,"New Joiners — Lower tenure, lower income"
135,3,35,12,7297.6,86.0,2012-09-26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7449.219510376787,-0.1813210320507665,Fair,0.0601693296644695,Low,0,1,"Tenured Employees — Higher tenure, higher income"
778,2,36,0,2422.5900000000006,71.4,2024-06-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3907.338449751879,-1.775603420534485,Fair,0.2865629203099948,Low,0,0,"New Joiners — Lower tenure, lower income"
410,1,21,0,2736.65,84.0,2024-06-22,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3069.40327019543,-0.3979380108810877,Fair,0.3047306894971612,Medium,0,0,"New Joiners — Lower tenure, lower income"
413,2,25,1,3406.96,77.0,2023-08-23,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4122.523578530081,-0.8557389892275933,Fair,0.2404719799714038,Low,0,0,"New Joiners — Lower tenure, lower income"
72,2,28,2,3296.54,38.0,2022-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4517.44330592969,-1.460072301481705,Fair,0.2100680012384401,Low,0,0,"New Joiners — Lower tenure, lower income"
460,2,24,0,3563.54,56.0,2023-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4089.159264739774,-0.628585511927444,Fair,0.2588751742264288,Low,0,0,"New Joiners — Lower tenure, lower income"
